Variable,Breakdown,Breakdown_category,Year,RD_Value,Units,Footnotes
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,02_Food_Manufacturing,2019,54,Count of businesses,1 and 9 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,03_Beverage and tobacco manufacturing,2016,6,Count of businesses,1 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,03_Beverage and tobacco manufacturing,2018,9,Count of businesses,1 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,03_Beverage and tobacco manufacturing,2019,9,Count of businesses,1 and 9 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2016,18,Count of businesses,1 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2018,21,Count of businesses,1 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2019,18,Count of businesses,1 and 9 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2016,69,Count of businesses,1 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2018,48,Count of businesses,1 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2019,51,Count of businesses,1 and 9 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,06_Non-metallic mineral product manufacturing,2016,9,Count of businesses,1 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,06_Non-metallic mineral product manufacturing,2018,3,Count of businesses,1 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,06_Non-metallic mineral product manufacturing,2019,3,Count of businesses,1 and 9 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,07_Metal product manufacturing,2016,27,Count of businesses,1 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,07_Metal product manufacturing,2018,33,Count of businesses,1 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,07_Metal product manufacturing,2019,33,Count of businesses,1 and 9 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,08_Machinery and equipment manufacturing,2016,90,Count of businesses,1 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,08_Machinery and equipment manufacturing,2018,69,Count of businesses,1 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,08_Machinery and equipment manufacturing,2019,81,Count of businesses,1 and 9 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,09_Other manufacturing,2016,36,Count of businesses,1 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,09_Other manufacturing,2018,36,Count of businesses,1 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,09_Other manufacturing,2019,30,Count of businesses,1 and 9 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,10_Wholesale trade,2016,114,Count of businesses,1 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,10_Wholesale trade,2018,105,Count of businesses,1 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,10_Wholesale trade,2019,105,Count of businesses,1 and 9 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,11_Scientific research and technical services,2016,48,Count of businesses,1 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,11_Scientific research and technical services,2018,39,Count of businesses,1 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,11_Scientific research and technical services,2019,54,Count of businesses,1 and 9 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,12_Computer services,2016,78,Count of businesses,1 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,12_Computer services,2018,108,Count of businesses,1 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,12_Computer services,2019,123,Count of businesses,1 and 9 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,13_Other services,2016,168,Count of businesses,1 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,13_Other services,2018,204,Count of businesses,1 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,13_Other services,2019,201,Count of businesses,1 and 9 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,14_Scientific research,2016,0,Count of businesses,1 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,14_Scientific research,2018,0,Count of businesses,1 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,14_Scientific research,2019,0,Count of businesses,1 and 9 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,15_Other government research,2016,0,Count of businesses,1 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,15_Other government research,2018,0,Count of businesses,1 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,15_Other government research,2019,0,Count of businesses,1 and 9 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,16_Higher Education,2016,0,Count of businesses,1 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,16_Higher Education,2018,0,Count of businesses,1 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Published_Industry,16_Higher Education,2019,0,Count of businesses,1 and 9 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Sector,01_Business Sector,2016,780,Count of businesses,1 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Sector,01_Business Sector,2018,789,Count of businesses,1 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Sector,01_Business Sector,2019,828,Count of businesses,1 and 9 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Sector,02_Government Sector,2016,0,Count of businesses,1 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Sector,02_Government Sector,2018,0,Count of businesses,1 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Sector,02_Government Sector,2019,0,Count of businesses,1 and 9 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Sector,03_Higher Education Sector,2016,0,Count of businesses,1 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Sector,03_Higher Education Sector,2018,0,Count of businesses,1 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Sector,03_Higher Education Sector,2019,0,Count of businesses,1 and 9 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Size,001-009 employees,2016,210,Count of businesses,19 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Size,001-009 employees,2018,246,Count of businesses,19 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Size,001-009 employees,2019,210,Count of businesses,9 and 19 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Size,010-019 employees,2016,135,Count of businesses,19 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Size,010-019 employees,2018,123,Count of businesses,19 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Size,010-019 employees,2019,135,Count of businesses,9 and 19 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Size,020-049 employees,2016,153,Count of businesses,19 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Size,020-049 employees,2018,156,Count of businesses,19 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Size,020-049 employees,2019,189,Count of businesses,9 and 19 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Size,050-099 employees,2016,102,Count of businesses,19 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Size,050-099 employees,2018,81,Count of businesses,19 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Size,050-099 employees,2019,90,Count of businesses,9 and 19 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Size,100 or more employees,2016,111,Count of businesses,19 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Size,100 or more employees,2018,114,Count of businesses,19 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Size,100 or more employees,2019,108,Count of businesses,9 and 19 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Size,Zero employees,2016,72,Count of businesses,19 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Size,Zero employees,2018,72,Count of businesses,19 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Size,Zero employees,2019,93,Count of businesses,9 and 19 and 21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Total,99_Total all sectors,2016,780,Count of businesses,21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Total,99_Total all sectors,2018,789,Count of businesses,21
_54_Expectation of amount of R&D carried out or funded in next financial year: Stay the same,Total,99_Total all sectors,2019,..,Count of businesses,9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2016,39,Count of businesses,21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2018,42,Count of businesses,21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2019,45,Count of businesses,9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,B_Mining,2016,6,Count of businesses,21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,B_Mining,2018,0,Count of businesses,21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,B_Mining,2019,0,Count of businesses,9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,C_Manufacturing,2016,288,Count of businesses,21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,C_Manufacturing,2018,351,Count of businesses,21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,C_Manufacturing,2019,390,Count of businesses,9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2016,0,Count of businesses,21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2018,3,Count of businesses,21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2019,6,Count of businesses,9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,E_Construction,2016,3,Count of businesses,21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,E_Construction,2018,18,Count of businesses,21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,E_Construction,2019,24,Count of businesses,9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,F_Wholesale Trade,2016,111,Count of businesses,21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,F_Wholesale Trade,2018,129,Count of businesses,21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,F_Wholesale Trade,2019,141,Count of businesses,9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,J_Information Media and Telecommunications,2016,21,Count of businesses,21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,J_Information Media and Telecommunications,2018,39,Count of businesses,21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,J_Information Media and Telecommunications,2019,54,Count of businesses,9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,K_Financial and Insurance Services,2016,24,Count of businesses,21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,K_Financial and Insurance Services,2018,21,Count of businesses,21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,K_Financial and Insurance Services,2019,27,Count of businesses,9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2016,9,Count of businesses,21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2018,15,Count of businesses,21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2019,15,Count of businesses,9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2016,243,Count of businesses,21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2018,300,Count of businesses,21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2019,354,Count of businesses,9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,N_Administrative and Support Services,2016,30,Count of businesses,21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,N_Administrative and Support Services,2018,24,Count of businesses,21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,N_Administrative and Support Services,2019,27,Count of businesses,9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,O_Public Administration and Safety,2016,0,Count of businesses,21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,O_Public Administration and Safety,2018,0,Count of businesses,21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,O_Public Administration and Safety,2019,3,Count of businesses,9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,P_Education and Training,2016,0,Count of businesses,21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,P_Education and Training,2018,0,Count of businesses,21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,P_Education and Training,2019,0,Count of businesses,9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2016,24,Count of businesses,21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2018,18,Count of businesses,21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2019,18,Count of businesses,9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,R_Arts and Recreation Services,2016,6,Count of businesses,21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,R_Arts and Recreation Services,2018,3,Count of businesses,21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,R_Arts and Recreation Services,2019,3,Count of businesses,9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,S_Other Services,2016,18,Count of businesses,21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,S_Other Services,2018,24,Count of businesses,21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,ANZSIC_1_Digit,S_Other Services,2019,21,Count of businesses,9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Industry,01_Primary Industry Group,2016,42,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Industry,01_Primary Industry Group,2018,42,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Industry,01_Primary Industry Group,2019,48,Count of businesses,1 and 9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Industry,02_Manufacturing Industry Group,2016,291,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Industry,02_Manufacturing Industry Group,2018,351,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Industry,02_Manufacturing Industry Group,2019,387,Count of businesses,1 and 9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Industry,03_Services Industry Group,2016,486,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Industry,03_Services Industry Group,2018,597,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Industry,03_Services Industry Group,2019,693,Count of businesses,1 and 9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Industry,04_Government Industry Group,2016,3,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Industry,04_Government Industry Group,2018,0,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Industry,04_Government Industry Group,2019,0,Count of businesses,1 and 9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Industry,05_Higher Education Industry Group,2016,0,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Industry,05_Higher Education Industry Group,2018,0,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Industry,05_Higher Education Industry Group,2019,0,Count of businesses,1 and 9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,01_Primary,2016,42,Count of businesses,1 and 6 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,01_Primary,2018,42,Count of businesses,1 and 6 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,01_Primary,2019,48,Count of businesses,1 and 6 and 9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,02_Food_Manufacturing,2016,48,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,02_Food_Manufacturing,2018,57,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,02_Food_Manufacturing,2019,78,Count of businesses,1 and 9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,03_Beverage and tobacco manufacturing,2016,6,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,03_Beverage and tobacco manufacturing,2018,9,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,03_Beverage and tobacco manufacturing,2019,12,Count of businesses,1 and 9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2016,12,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2018,12,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2019,12,Count of businesses,1 and 9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2016,48,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2018,66,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2019,81,Count of businesses,1 and 9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,06_Non-metallic mineral product manufacturing,2016,6,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,06_Non-metallic mineral product manufacturing,2018,9,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,06_Non-metallic mineral product manufacturing,2019,9,Count of businesses,1 and 9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,07_Metal product manufacturing,2016,33,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,07_Metal product manufacturing,2018,36,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,07_Metal product manufacturing,2019,27,Count of businesses,1 and 9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,08_Machinery and equipment manufacturing,2016,114,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,08_Machinery and equipment manufacturing,2018,132,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,08_Machinery and equipment manufacturing,2019,132,Count of businesses,1 and 9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,09_Other manufacturing,2016,24,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,09_Other manufacturing,2018,30,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,09_Other manufacturing,2019,36,Count of businesses,1 and 9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,10_Wholesale trade,2016,108,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,10_Wholesale trade,2018,129,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,10_Wholesale trade,2019,141,Count of businesses,1 and 9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,11_Scientific research and technical services,2016,45,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,11_Scientific research and technical services,2018,57,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,11_Scientific research and technical services,2019,66,Count of businesses,1 and 9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,12_Computer services,2016,147,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,12_Computer services,2018,180,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,12_Computer services,2019,213,Count of businesses,1 and 9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,13_Other services,2016,183,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,13_Other services,2018,231,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,13_Other services,2019,270,Count of businesses,1 and 9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,14_Scientific research,2016,0,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,14_Scientific research,2018,0,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,14_Scientific research,2019,0,Count of businesses,1 and 9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,15_Other government research,2016,3,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,15_Other government research,2018,0,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,15_Other government research,2019,0,Count of businesses,1 and 9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,16_Higher Education,2016,0,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,16_Higher Education,2018,0,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Published_Industry,16_Higher Education,2019,0,Count of businesses,1 and 9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Sector,01_Business Sector,2016,816,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Sector,01_Business Sector,2018,990,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Sector,01_Business Sector,2019,1128,Count of businesses,1 and 9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Sector,02_Government Sector,2016,3,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Sector,02_Government Sector,2018,0,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Sector,02_Government Sector,2019,0,Count of businesses,1 and 9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Sector,03_Higher Education Sector,2016,0,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Sector,03_Higher Education Sector,2018,0,Count of businesses,1 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Sector,03_Higher Education Sector,2019,0,Count of businesses,1 and 9 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Size,001-009 employees,2016,234,Count of businesses,19 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Size,001-009 employees,2018,321,Count of businesses,19 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Size,001-009 employees,2019,351,Count of businesses,9 and 19 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Size,010-019 employees,2016,162,Count of businesses,19 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Size,010-019 employees,2018,156,Count of businesses,19 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Size,010-019 employees,2019,201,Count of businesses,9 and 19 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Size,020-049 employees,2016,153,Count of businesses,19 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Size,020-049 employees,2018,201,Count of businesses,19 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Size,020-049 employees,2019,201,Count of businesses,9 and 19 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Size,050-099 employees,2016,72,Count of businesses,19 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Size,050-099 employees,2018,99,Count of businesses,19 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Size,050-099 employees,2019,114,Count of businesses,9 and 19 and 21
_55_Expectation of amount of R&D carried out or funded in next financial year: Increase,Size,100 or more employees,2016,111,Count of businesses,19 and 21
